                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.92364,                 2.5539,                 1.0457,                0.74944,                0.17695,                0.15828,                0.12865,                0.74482,                 1.6469,                0.95115,              0.0033283,              0.0033283,              0.0033283
                      1,                0.90251,                 1.7396,                 1.0414,                0.65524,                0.19206,                0.16308,                0.12271,                0.89413,                 1.7764,                 1.0489,              0.0065957,              0.0065957,              0.0065957
                      2,                 0.9776,                 1.6082,                 1.0802,                0.58789,                0.08923,                0.08912,                0.05823,                 1.4005,                 2.5688,                 1.3643,              0.0097971,              0.0097971,              0.0097971
                      3,                 1.0016,                 1.4348,                 1.0948,                0.55211,                 0.2606,                0.24328,                0.17927,                0.88208,                 1.4248,                 1.0317,               0.009703,               0.009703,               0.009703
